max_dif,OFV
3.315379807321644e-5,-9.64102731870753e-7
2.515191017734425e-6,-1.4969088093508276e-6
9.859494874059349e-6,4.254518749746694e-6
6.054378469427801e-6,5.030663198901664e-6
1.065053924502993e-6,-6.655594404492149e-7
1.0065115313068196e-5,4.0740885332013477e-7
3.818383866906767e-6,7.609558785759418e-6
1.7544192581157164e-6,2.944927857129187e-7
1.8004048126241123e-6,1.1452272019596421e-7
3.0298565153548855e-6,-2.2708115920977434e-6
1.8809234230563116e-6,7.672388186108492e-6
5.901429242741174e-6,-2.049733996756231e-6
6.95666525046823e-6,9.599888244338217e-7
8.776185609737919e-6,8.239231119588908e-6
5.54013428688549e-7,1.3296249576910668e-5
2.0467567466890893e-6,-2.3535138282682055e-8
5.3489588831556745e-6,2.110648388509162e-6
5.320435713049038e-6,-3.594351227320658e-6
4.511400812674854e-6,7.893236642075863e-8
7.112907414015546e-6,1.386080894505426e-6
8.833808338007249e-7,-1.1631245833143566e-6
3.3336081122978256e-7,-6.484849777166346e-7
8.316102666938718e-6,3.8001933560849466e-5
3.300096398595187e-6,7.717151341957162e-6
5.07107555669517e-7,-5.218325590305994e-6
3.346188510555681e-6,1.7601856496796131e-6
2.9591457059368097e-5,1.03249933403049e-5
4.855282791010884e-6,1.9223470992812963e-7
2.632683084180507e-6,9.631833108869614e-9
1.594287677080669e-5,-3.6116569255284503e-6
2.212444467762642e-6,3.3836532722375523e-6
2.1285404567202327e-5,-4.28064685209506e-6
1.693461369134397e-6,-2.809336713482935e-6
7.91726159111994e-7,-8.625949909912833e-7
2.1147333136503632e-06,9.071632476320701e-7
1.7303773955715251e-6,5.146629407093428e-6
4.726493044507587e-6,-2.837136463540446e-7
6.347469096446012e-7,-4.3163645742083645e-6
2.1982282714889647e-5,-1.417081485755034e-5
1.7383807939225226e-5,2.817175452030085e-6
7.069988167129893e-7,-4.357683820899183e-6
5.686509372118902e-6,5.148802917354089e-7
5.895559002572215e-6,-1.1669545195047704e-5
2.5390761548196167e-6,-3.613498593679765e-7
1.339137552568234e-6,3.29929829234743e-6
2.627444296146586e-6,3.672837296520015e-7
1.1555926732631505e-5,9.835967219373742e-6
1.9615029312347892e-5,-1.0059881679680416e-5
1.449023619648493e-6,1.4335877978055578e-6
9.148775165612744e-6,7.915826431670325e-6
6.673273424684378e-7,1.1442103286185556e-5
8.423885316487245e-6,1.3892876946641763e-6
4.471590430099592e-6,-1.3992343070867719e-6
1.7778892293318638e-5,-3.4200791265703856e-7
2.3364168955977488e-6,4.332947604268611e-6
4.953404965230002e-7,-6.446698291640018e-6
1.3577780642998324e-4,-1.1090271101465987e-6
5.333516155461848e-6,4.629652394783079e-7
5.106982589093113e-6,1.5941284132736655e-6
9.645145847558823e-7,-1.1480461061808e-6
8.798821208402975e-7,-3.082599324244484e-6
3.7951482649044843e-6,-2.1452915124342553e-6
8.177366636729816e-6,1.3472916158718817e-5
9.353891722282959e-6,2.3644888846874323e-6
2.115397382471129e-6,-1.7492443831201854e-6
1.1350217406114194e-5,8.172709256015764e-7
4.168829160498777e-6,8.467173060466848e-6
6.859032331732462e-6,-2.0750804710090165e-6
2.286750369219615e-6,-7.656681404455412e-7
4.694115177759223e-6,1.1936099930665023e-7
1.9812440222762018e-6,-2.5281356386130938e-6
