max_dif,OFV
3.1809474317912034e-6,-1.2484054678907341e-8
2.876607412230503e-6,-1.2174590224844906e-8
2.5430911823587365e-4,3.8030149029921745e-7
2.106822802636077e-5,3.1760558627524915e-9
1.7141582920598974e-6,-1.8497114950832838e-7
4.76448533738294e-5,-9.911576182020099e-8
1.3079209167377037e-6,1.1453624182422573e-6
7.92120844577901e-6,2.644418017894168e-10
2.768533179708932e-6,-2.4745254734170885e-8
3.7580287371857812e-6,-4.228795091876236e-11
7.349424766661672e-5,5.093176298487379e-7
2.2081080112423823e-6,-1.4271357429151976e-9
3.8826720016871263e-7,4.784183715855761e-7
7.573978322480968e-5,2.8168898325020564e-8
2.3881397536451576e-6,1.0313068088407817e-7
1.2514073666608332e-5,2.823519196226698e-10
4.90462468194508e-7,1.681920025475847e-8
4.668446139163146e-5,2.5077103256165856e-6
5.21229223740538e-6,-1.9016680781192008e-6
2.1253421889869117e-5,2.2029436053117024e-9
8.679465582528412e-6,5.018763360453704e-8
3.4458933420872945e-6,2.0771029340949099e-10
2.6419741092187365e-5,4.506629913691995e-6
9.678803544382886e-6,2.402975596282886e-9
2.3117770902858492e-6,2.7216700004828454e-9
5.65581532936954e-5,9.339812478970089e-9
7.89640596632335e-7,-1.941721535558827e-6
2.9901944414850723e-6,-5.164661587286901e-9
5.953512580481046e-6,-8.525134660430922e-7
1.9482788099003945e-6,1.593112486375503e-8
1.6496776147206793e-6,-2.9578698246268686e-7
1.4255138642352283e-5,-1.0954922657901989e-7
5.50662962339743e-7,8.698268061380077e-8
1.046666258547671e-6,5.787370582766016e-12
1.24745550827976e-6,-8.502119115405549e-7
1.944930375565035e-6,-3.062758935357124e-10
7.356579169970345e-5,-1.2361626744450405e-6
2.153301012152234e-6,-9.125177413693564e-8
3.3289023143867613e-6,-7.369131537870999e-6
1.1356061006428941e-4,-8.040892396365962e-9
5.214940298273185e-7,1.1612517170078718e-8
4.294469891974462e-5,-4.816831111753572e-8
3.0854570736760234e-5,3.0675301587734793e-6
1.2061339203034427e-5,-1.8398266021790732e-8
1.408781104772494e-6,-2.769483842257614e-8
1.257469519861526e-5,8.011380536743218e-8
3.5053977679999626e-6,-4.312818965956922e-6
3.191797654844043e-5,1.1262062393768701e-7
4.224071128003382e-6,-6.790630635578054e-8
7.273348679681657e-5,1.591101383979776e-8
2.6454321487706656e-6,6.223170743169248e-7
3.6704148711805273e-05,5.907866196253053e-9
2.363732552412845e-6,3.901462264366273e-8
1.4190395417951196e-4,1.5643617246041686e-7
7.184371966229008e-7,5.865096213142351e-7
7.695064230317517e-6,-5.233593647346879e-8
