max_dif,OFV
3.9588048457120384e-5,7.114373623551273e-7
7.33344918675289e-6,-2.374982832620276e-8
3.9706781415682624e-5,1.2586579526185915e-5
1.7162043527640947e-5,1.0031658683740119e-6
5.620092320135495e-7,5.876933784065841e-7
4.0616312441593694e-5,1.3375608233223701e-6
3.401716905202939e-5,3.903666986104781e-6
4.9000904888268915e-6,-1.7476265909976973e-6
2.460797209212869e-5,-5.649712875310797e-8
1.728850407500815e-5,5.564710683358953e-7
4.774174498883843e-5,-2.065115403127038e-6
4.662315302876409e-6,8.300534455329966e-7
3.658327284938867e-6,1.4020867595831987e-6
1.2967917233264181e-5,1.930361328561503e-6
6.842842704080088e-5,3.250971012391801e-6
4.543650987549301e-6,-2.4961104987397675e-6
1.969409208858741e-6,-9.044821780435086e-7
9.398423633550854e-6,6.449398259888994e-8
1.0783694067133463e-5,6.506870491307382e-7
3.327953724568955e-5,-2.5679398873990067e-7
3.422032787636642e-6,2.413233705311768e-6
2.824027412223762e-6,-2.46022381489297e-6
2.6110748161123354e-4,4.4541849458568095e-5
3.526919472751633e-6,3.7032959272487176e-6
1.9369811109726243e-5,-1.5319836208504967e-6
1.661336425667903e-5,4.198112843134538e-6
1.5349613066290013e-6,1.3094146982695065e-5
1.3863210135051096e-5,-2.0066417540931525e-6
3.8990826117212e-6,-6.026642296319551e-8
3.4159707090822278e-6,-2.054610934720813e-7
3.478931649736737e-6,2.1282531172062136e-5
6.687553028600357e-6,4.110924876066235e-6
1.5248780756482727e-5,1.283964792264669e-7
3.9396755718013043e-5,-2.2520963049998954e-7
2.122609332032288e-5,1.5373008181995829e-6
7.576385517095265e-5,-7.848645398489396e-6
1.5950579427069484e-5,6.897607320865973e-7
3.8204428360055775e-6,3.266542300650599e-6
1.9158707692373873e-4,-2.056584877863088e-5
8.079990903886447e-5,-7.815628866314484e-7
2.9008713575140455e-6,3.51322917424568e-8
1.0103430008068642e-5,-1.0018097362785028e-7
1.7567380685193593e-5,6.277467008430904e-6
5.507667338772171e-5,-5.209201214828596e-7
1.1270325029344441e-6,3.4180950549966838e-6
9.606942053763667e-6,-4.3617783207494654e-7
1.470115464446975e-5,1.9443040567779235e-5
4.50087827505441e-6,-2.9402136609846252e-6
6.0229706903836e-6,-2.630308557627359e-7
2.4076318489774096e-5,7.85363457822541e-7
9.786776067638447e-6,-1.107931758781433e-6
2.5259706690539126e-5,-1.377308185279702e-6
8.050891121588744e-6,-3.3237399321706107e-6
1.1706794047738889e-4,1.553571185253233e-6
5.061461455900161e-5,-9.647313049754302e-6
3.7513782237541538e-6,-2.454442052268746e-6
8.716395983943168e-6,2.1029927950166893e-6
5.4084198895382185e-6,-1.2269401290510018e-6
5.7663895303206036e-5,6.6968003444856095e-6
1.6745719563227013e-5,-1.603596290067344e-5
2.3079703952433306e-6,-5.448119036799426e-6
5.162948336911999e-7,-1.192360875812426e-6
7.675098932352753e-5,8.275382960221123e-6
