max_dif,OFV
2.3606395130326696e-6,-2.0384267784834265e-7
1.9581976887991792e-6,-1.0124509053355268e-7
6.298440818383599e-6,-1.4021234839844965e-7
2.91374018166618e-7,2.3929209724826705e-9
5.132513745953471e-7,3.020177192780693e-7
5.113738733936168e-6,1.0229158498020752e-6
1.2777298820515481e-6,7.722032915324917e-7
1.4188453461021384e-7,-1.170175067954915e-11
6.207084904362448e-7,2.593817427509748e-7
3.5068627068923774e-7,1.1739942351596255e-11
4.438818824725743e-7,1.125757130182592e-6
3.157262376263237e-7,-2.1706005881583224e-9
2.8615564105216595e-6,5.244722345310038e-8
6.931702235812853e-7,7.677458668808868e-11
3.281106286640023e-6,-1.6721956495047152e-6
2.417235486114333e-7,-1.575326535885324e-10
5.80464534327696e-7,-9.818339030687184e-8
3.7620893067469297e-7,-1.5978943457284345e-7
4.778672363370262e-7,-2.7139795797381794e-6
1.7944872858707828e-6,7.582884986589988e-9
5.423490520017893e-7,3.5877500081937796e-8
1.2414672383165293e-6,1.4020784533386177e-11
6.241480366851911e-6,1.673325984441476e-6
1.0150053813620663e-6,3.396853021087054e-9
1.9219506575789136e-6,-2.1532416116798458e-7
4.7020046595180887e-7,1.440225716464738e-11
8.060576867363611e-7,-1.5778513269282257e-6
6.909250418740687e-7,-2.2859096837635207e-9
5.42980305662244e-7,3.059429953822246e-7
3.791378285766811e-7,4.075408899240074e-10
1.7993849403246526e-6,7.955734950826354e-7
1.0718013962185413e-6,-2.6461986291081985e-7
4.867496062876953e-7,-2.381602604017985e-7
5.008888698703959e-6,1.5484502569051983e-10
3.0551591385513666e-6,1.3623433297027532e-6
1.8598518815977037e-7,-2.287952050039621e-10
4.564386052452463e-6,-3.0110216364676035e-6
7.584410609690062e-7,-2.8506465765687494e-7
7.52223105054961e-7,-8.296334797819327e-6
3.9886701813651726e-7,2.9527993827827004e-8
9.682405797267757e-7,7.925305212097555e-8
1.1015289206616624e-5,8.754475615546653e-7
1.225512481967117e-6,4.964957321718089e-6
2.763091061092071e-7,-2.985129521348995e-8
1.0546127056365595e-6,4.866067193631807e-7
6.526657881098311e-7,1.2033120633248018e-7
5.838528038815127e-6,-4.123128032773593e-6
2.472634313549493e-7,-1.9246836346908935e-8
3.281287329917615e-6,2.597176838037285e-7
4.477222588922247e-7,2.454392244999326e-11
6.626983350785376e-6,3.310396472500088e-7
5.845229206241642e-6,1.859272926729716e-7
3.2351613255682254e-7,-4.3591981579993444e-8
5.423036657348224e-6,-2.9940785406523673e-7
2.020080123319584e-6,9.78032431930842e-7
1.7661161431925532e-7,-2.2225587148483328e-8
1.5246988502304326e-6,-7.27459820382137e-7
8.982230112600242e-6,3.254019276255349e-10
1.1741858403600813e-6,6.412222575136184e-8
