max_dif,OFV
6.033921769302286e-6,-6.31722443245053e-8
1.265878742706325e-5,-1.4364666967026096e-7
1.964745187094108e-5,4.961981758810907e-7
0.004328256624025292,2.7622968687701643e-4
2.0583412317642935e-5,4.095432615258687e-8
3.6894612172932995e-5,-4.99793588915054e-6
6.105529814032229e-6,-8.488455449651156e-7
6.327811420452079e-5,4.497581329587774e-8
4.042614115601362e-6,-8.255913286348004e-8
5.110723376886006e-5,3.0081768187528724e-08
4.337896283068687e-6,1.987660880331532e-7
3.234617500086877e-5,8.29286150860753e-9
4.927833473811205e-5,-7.193197859578504e-8
5.030333205702231e-6,2.622364547733014e-10
6.129023539913625e-5,-6.170132024863051e-6
1.651774308597878e-5,1.7639294469518063e-9
3.1039098621177263e-5,-3.230753975458356e-8
1.990506779267487e-5,1.4602161257926127e-7
3.0296794078107925e-5,2.615658047488978e-6
1.0240654429394258e-4,-8.996794669258179e-7
1.391602241296308e-5,-3.829535089039382e-8
7.64646242726319e-6,4.639080231072512e-10
3.25414737723656e-5,1.2346674580498984e-6
2.3337172997087152e-5,3.260987924136316e-9
4.3960940594472975e-5,7.793640577347105e-8
1.0593449693452328e-5,7.412879199364397e-10
1.5898877713699765e-5,-1.7373402414477823e-6
2.2440582844174273e-5,1.3552565292229701e-8
6.2194105179547154e-6,1.8755504171963366e-6
5.3760154819712525e-6,8.181160637832363e-9
8.776206139479714e-5,-7.473892210896338e-6
3.595525001703903e-6,-3.2776948231116876e-6
5.9926353274619704e-5,-1.9623904279342241e-7
3.1224680088287604e-5,2.4246723739906884e-8
2.3634399930916317e-5,-2.606011804573427e-6
3.996354797867335e-6,-2.4489743566391553e-9
1.9209298541433828e-5,-1.0788955080442975e-6
8.072448459867793e-6,5.981120096976156e-7
8.708849819343e-6,-8.44998737647984e-8
0.03424943530116303,0.01038845563691737
4.3010277877758574e-5,5.175527562073512e-8
2.1306389606429166e-5,1.2020951949409664e-6
8.726786463038663e-5,1.3903579088037077e-7
3.716208485113337e-5,-8.474645394329627e-7
1.9588107909945807e-5,3.0197694655953455e-7
9.667158941517595e-6,-1.4684126430353217e-6
6.141889788885413e-5,-5.011268498833488e-6
7.318611132866963e-5,3.332572617864571e-8
2.563525588792845e-5,-7.040782179501548e-9
1.0925588070045955e-5,1.899508106362191e-9
0.07394642564158346,0.06729104483801507
5.695780013181338e-4,4.307663743929879e-6
1.755180594176231e-5,-2.7652461653815408e-8
2.2077450966884182e-5,1.5124519379128287e-6
1.0925280468823684e-5,9.129986722200556e-8
1.4260704508384237e-6,-7.689546777100986e-9
8.007301801615796e-6,5.368126920757277e-7
1.866710265208127e-5,5.012232406897965e-9
5.918860363775744e-4,1.215002896515216e-5
