eta.ETA_Cl,eta.ETA_Vc,eta.ETA_Ka,eta.ETA_Km,ofv
-0.6139033502277301,0.1748281972848723,2.6348908093589492e-6,0.5260672350600439,12.838080859649725
-0.024435560040818385,-0.3298249673412836,1.3556490094844475e-5,0.05014383278459132,38.2109082069103
-0.23586046154340048,0.2443682323611093,-4.088830333234855e-5,0.18384860163219796,7.9996116260726495
0.06191588405649479,0.27092988083428954,-1.4160509620263043e-6,-0.03536986206453061,40.27607568341189
0.2915227864294382,-0.3219555389438905,9.811182427879894e-7,-0.15911693860325674,6.667110321386399
0.5509288236678714,-0.024184444470069514,1.4555743425235908e-5,-0.2615748499600856,39.122038094782035
0.10247180068807836,-0.07867334354942601,5.26312776467861e-5,-0.05427109164584027,8.575914171251839
0.2054889541858522,0.09083646324396134,-7.341513623095808e-7,-0.18935527219047146,17.993038739247925
-0.048272963583690424,0.052186204777540886,2.1409007575373608e-5,0.0464615020556805,2.460388906319822
-0.19634953697994403,-0.19206283438836594,-2.0085206576321975e-5,0.18139644276744055,23.696843163423274
-0.36210734982922926,0.2056890657304188,-3.4984331360009217e-6,0.34937277176412596,6.958631882455011
-0.32322657317132236,0.1486200558488513,-6.0257966591025e-7,0.3013131953820336,32.49792525718845
0.008795465051498433,-0.010601205211150586,2.4494983361984546e-6,-0.007864279654292637,3.661478022378694
-0.4939543242789903,0.38511072129890517,7.800752228697402e-6,0.45060083927438876,37.285087631719506
-0.3268690430512331,0.28300918479155385,-1.6047121516662673e-5,0.2964706224236997,7.963989931773532
0.19830585242344537,0.15900793703796173,-3.049930272144082e-6,-0.10741810921601468,32.22473869374183
0.13823485060252771,-0.1866202752494272,-8.185913447579937e-6,-0.11024482779386602,3.209804213819651
0.2590578862353165,-0.37819147882653703,1.0688366827388336e-4,-0.1758076492003546,32.55325919261449
-0.07602797568792603,0.05067212400551308,5.986061138451655e-6,0.05651219836763144,8.008904525113321
0.2757772353968468,-0.44789824227358704,-1.8350315863794253e-6,-0.09756334177754762,36.83619182051655
-0.009628425625612958,0.00687735629724985,-4.123839712521211e-7,0.006680909836094441,7.5783375116386
0.5800650217175993,-0.1338699820989991,1.3124987515672376e-6,-0.30801046703699503,35.626575014963706
-0.03742320811496068,0.04748027343284068,2.244986422877587e-6,0.029221007625481684,4.902955861507817
-0.12488964470094865,-0.013537117128088813,3.3097916913725883e-6,0.07549003272241651,40.38966354829664
0.5059163987793541,-0.6068515294176293,4.278470818422732e-5,-0.2509506754890321,6.665406485620695
0.9679705308871143,0.4040475920167958,-5.4520246548485505e-5,-0.33669218999596195,40.24918279327742
0.16251474245255534,-0.1065079067953648,9.678788471461673e-6,-0.07891275211860661,9.07664998426103
0.006825783161153945,0.19934015283230833,-1.8887259124565247e-5,-0.0018735308580655038,19.55606096818634
-0.035328072171135316,0.04289156466717414,3.1365395542588727e-7,0.034110800523422614,1.6820881747129415
0.7294675299097727,0.35218873663124417,-2.0689539267818385e-6,-0.6019668752555892,20.16561461962576
