max_dif,OFV
1.9616915874348662e-7,-6.893976944866154e-9
3.663974558502578e-7,-8.641604765102784e-9
2.926603760073504e-6,4.1257663951910217e-10
3.845039555869581e-6,3.717950392001512e-10
3.12028928632635e-6,6.346865433215498e-8
9.783776008234421e-7,4.336494239254307e-7
6.327866893113265e-7,8.574962109264561e-7
1.0628897530464386e-6,1.6441958905488718e-11
3.5822983690536603e-7,-1.259744450976541e-7
2.0066985093637746e-6,-1.7750956260442763e-10
1.453227303271909e-6,4.834604823145128e-7
4.468729866702326e-6,-2.285650779754178e-9
1.7890002435849706e-6,9.011261425939665e-8
4.194504246546327e-6,8.01847477305273e-11
1.7122933554353237e-5,-8.547207976050686e-6
4.362261222020519e-6,-4.5366377321442997e-11
4.430791581744309e-6,-2.197525148517343e-7
2.1993889459080707e-6,-5.831475746731485e-9
1.6148708976704285e-6,-2.924878529597663e-6
1.027347849029761e-5,1.5920479157216505e-8
1.2650144519177342e-5,-1.4815540794188564e-8
1.3243670878926653e-9,3.552713678800501e-15
3.840578596467359e-6,-2.9306213633617517e-7
5.468562837332956e-6,6.491038817557637e-10
3.3879510302481375e-6,-1.4423517313844059e-7
3.631985395768922e-7,8.828493491819245e-13
2.0529111067202344e-6,-9.866379357958976e-7
1.3981859668197455e-6,-2.339799465289616e-9
2.54674134037014e-6,-1.3358499657556422e-6
1.0136452642806049e-6,4.8336417535210785e-8
2.2337849860639206e-6,3.4362787388886318e-6
1.24089660701876e-5,-2.6180808632148e-7
5.231394806237688e-6,-2.080792285141797e-7
8.065201191221477e-7,4.884981308350689e-12
1.1176224882780694e-6,-4.447226558568218e-6
3.956544626058933e-6,-1.37532651933725e-10
1.4159448604722513e-6,1.4222110138462085e-6
1.2365317940271625e-6,-3.400774453155009e-7
1.921445297936586e-5,-1.0820618236806467e-4
2.6730785283868297e-6,1.480021083466454e-8
2.1711440479493804e-7,2.2069741589803016e-9
1.4906675792000779e-7,2.713495916850661e-8
5.789580257542504e-6,3.4270714692752335e-6
2.858789601099083e-6,-9.497057362750638e-9
9.400596412689755e-7,1.6697164539891673e-8
4.591653403632928e-6,4.0502014186927227e-8
2.402180857452585e-6,-4.024937290125763e-6
8.518519498342675e-6,-4.3197763588409543e-8
5.417014995734437e-6,2.0707731351876646e-7
6.374910154205438e-7,1.8623325104272226e-11
1.0164201737494771e-6,1.3919504482373668e-6
1.6472486339125236e-6,1.3693789924218436e-7
8.133104310859007e-7,1.0234217739935048e-7
2.8954573416013762e-6,2.4547586949807965e-6
1.2785178724994406e-5,1.717665299594273e-5
7.153707024171174e-6,-2.7764183840872647e-8
1.8581281207297184e-6,-1.827360939898881e-6
3.3612784613584745e-6,6.487965720225475e-11
2.011343661345588e-6,9.459927383659306e-7
2.4363726701559507e-5,-1.7772631366597125e-8
1.2983936824306763e-7,4.574545187097101e-10
4.7212711248639447e-7,1.255884285455977e-12
1.263308741165925e-5,-4.737108127983447e-8
5.819579935255857e-7,7.315943406638326e-10
3.3971554407458138e-6,-5.889538030601216e-7
2.6551758657671065e-6,2.446943909717447e-7
4.987865385719381e-7,4.927874641680319e-8
2.727415487804863e-6,6.025416610100365e-9
7.521248360786714e-7,3.865946780479135e-7
1.232712521642156e-5,3.229601475140953e-9
5.4723861756533765e-6,2.1065484006044244e-6
1.3192034203947378e-6,-9.784476517893381e-8
5.480457617122736e-4,1.3151273016376308e-5
4.868223726778309e-7,1.042721464727947e-12
5.050992857302816e-7,-4.80308775507865e-6
9.361537743030057e-6,-1.1670685218234667e-7
3.1852739980076095e-6,1.5256099317184635e-7
1.211403112801046e-6,-3.3955274147956516e-9
4.1310193456545186e-6,-2.03410144905547e-5
1.7695530502820356e-5,-6.756746273595127e-10
2.077059944260995e-6,1.0138435158069115e-7
4.544383918649031e-8,1.415284422989771e-8
4.3489742607150106e-7,1.664643889398576e-8
2.690553860151823e-6,-8.242698079641286e-8
3.3114934207241833e-6,9.603994044482533e-9
4.063067231552253e-7,-8.796837214219977e-8
1.585318866355323e-6,6.006894750498759e-7
3.481812884675948e-5,6.7158936190026e-9
1.652928656226127e-6,-2.335400793640474e-6
3.2359527062444937e-6,-3.4338597103555912e-6
1.8064494861358416e-6,-1.2782007267730933e-5
3.6298283760081984e-6,4.4942538579562097e-10
1.2273173025656448e-6,3.775480124090791e-7
2.232033963239788e-6,9.170779691203279e-10
9.901415980340111e-6,1.7762710015745142e-5
3.280312118325579e-6,1.762286316875361e-9
2.063354858639066e-6,-9.419374961794347e-6
1.2686261039486502e-6,8.700595799382427e-12
1.6527854018455468e-6,-2.3888735398713834e-6
1.4414214748049992e-5,7.593001782879583e-10
3.0287899327463563e-7,-4.7309491435498785e-8
1.9010527702381652e-8,4.967123601318235e-9
8.724835184767583e-6,-8.858022226831963e-8
