max_dif,OFV
3.14881214734386e-6,-6.7942522719022236e-9
9.293563019777129e-7,5.6074611176626377e-8
7.633652137170599e-6,3.817060054700505e-7
4.717811058251552e-5,1.4602741238434191e-8
8.818942006549868e-6,5.2251095894462196e-8
2.9839460244651672e-6,4.452812322419675e-6
2.799518795225896e-5,1.9715543402298863e-6
3.882453538754324e-6,4.864908476065466e-11
1.0457829522844686e-5,-5.462072039108534e-8
9.171092276993864e-7,-6.142988340229749e-10
6.88316871963468e-6,2.2559849028880308e-6
4.165826452323662e-6,-7.949042313271093e-9
4.276327137398006e-6,-1.4413615190278506e-8
1.2713947700408734e-5,1.5317151991212086e-9
3.192677662522403e-6,-6.044038997288226e-6
2.2586892845560997e-6,1.291056150876102e-11
2.2699988932561865e-5,3.036409879086932e-8
5.531601742398556e-6,-1.2898307897302175e-6
6.985287772645274e-6,-3.4099218666483466e-6
2.9339881068215102e-5,4.224093252958028e-8
3.3790938889777244e-6,8.131847906156509e-8
7.755306124346273e-6,9.12329767288611e-10
1.7387589915505985e-5,-1.1765129528384932e-6
1.1714029358424888e-5,8.114762195532421e-10
1.1360145175273034e-5,-1.085755634733232e-6
1.4406618764895018e-6,3.156053196562425e-11
7.797365318124136e-5,-1.9729132461066e-6
5.4074965019398034e-5,2.0373821740804487e-8
6.135237108973075e-6,-1.1523469822805055e-7
1.992606590436874e-6,-3.0144937213094636e-7
1.989969351598106e-5,6.337354676588802e-7
4.645120330297112e-6,8.251662109159952e-8
3.0433316705602564e-6,-1.1499743379772553e-8
2.010345232976961e-6,3.956301952712238e-11
1.2306057793811526e-6,1.178556509273676e-6
7.996586531544819e-7,3.360867140145274e-11
1.648492024597381e-5,-8.54023340934873e-9
3.368236685993321e-5,-2.517644084321091e-7
9.332132671728555e-6,-6.839137590475275e-6
7.838972325249424e-6,4.559680650828568e-7
4.2896270835979244e-6,5.724576368493217e-9
3.1852353343381212e-6,1.9091778598046005e-6
1.4511432743224972e-6,5.697034932694578e-6
1.1265208285265657e-5,-1.008584478157104e-7
1.618597839572744e-5,6.632164328834733e-8
7.5052378710427315e-6,-1.481991116492054e-7
4.245473331443428e-6,-5.211775480518099e-6
5.694700179748047e-6,-4.650740770273387e-8
5.688080095246628e-5,4.4661354792197017e-7
6.665064624458011e-6,2.6689939147672703e-10
1.5663419868687523e-5,3.0948044127399044e-9
8.993932998188582e-6,-9.359753860849196e-9
9.463763757220148e-6,6.14224404671404e-8
5.150681162191528e-6,2.8031241656734096e-6
3.5558471323186847e-5,5.8853561313299e-7
7.034072461165053e-7,-2.5571898376597346e-8
2.3622405493917142e-6,-7.513333244446585e-7
8.015115822367427e-6,4.178701829005149e-10
7.721387835704988e-6,3.21892343890795e-8
6.344518500261964e-6,-8.571201171037046e-8
1.1445683071875656e-6,5.4618460865185625e-9
2.99328648433253e-6,1.4054712949018722e-10
2.0614403283387116e-6,3.345919026287447e-7
3.520438662545436e-6,-2.726181396184302e-7
1.2679666651999044e-5,7.980116336625542e-7
4.849618943497669e-5,2.361752941659745e-6
1.4278628084757328e-5,-1.410878098795365e-7
1.8258986502286707e-5,4.013017615989156e-7
2.318432750385291e-6,3.432154187521519e-7
2.9636074988237393e-6,1.203638166913379e-7
7.3331949064191215e-6,2.541120991850221e-6
2.361961756028319e-6,-1.4037552276136012e-7
5.328171044371999e-7,-8.604154544400444e-8
2.085397667050959e-6,1.1574741165532032e-10
2.2827202342173836e-5,-4.172580091221789e-6
6.1999006655596295e-6,-9.554300568481722e-7
1.9645600608381164e-6,-7.353867914616785e-8
8.892574693795952e-7,-2.0768817776684045e-8
4.234784144484249e-6,-4.201699844941231e-6
1.619177404162727e-5,-4.374383522076641e-9
8.761710214119645e-6,7.428018307109596e-7
7.272120194828924e-6,-5.485876526378775e-7
1.6826544911058283e-5,-2.602466508960788e-7
2.7306142074551287e-6,-5.841397907602186e-7
3.845653383965919e-5,2.1053711662943897e-8
1.7489771344109117e-6,3.381889435161156e-9
1.1243261317551989e-5,1.7164762979859916e-6
1.7948875322831848e-6,-4.114126781473715e-7
5.001548533029032e-6,-1.0472561839947048e-6
1.104334316302108e-6,9.293148046651822e-7
2.30786564218554e-6,-6.223949839068155e-6
7.331400516599708e-5,3.7797125429506195e-8
4.261845963915434e-6,6.692890508475102e-8
3.311915757056756e-6,-9.444667270486207e-10
3.4491947851739146e-5,5.9981339859405125e-6
2.558317582185797e-5,7.4751280720875e-9
2.046031442937135e-6,2.571397459405489e-7
8.366562760965535e-7,1.1445067116255814e-11
8.350074253635209e-6,-1.3201515116634255e-6
1.3034766858695344e-5,1.531361704110168e-9
3.27596906110339e-5,-1.584410824762017e-9
2.1414286542259953e-5,1.8972817361628813e-7
9.330112020755621e-7,-1.4390856861723478e-7
9.037628537275112e-6,9.305197963271894e-7
5.2817182799730356e-6,2.0432796787872576e-7
3.7299750686435075e-6,-7.26220283908674e-8
6.8193721815199004e-6,-3.533285060086655e-7
4.85139064379525e-6,9.697763125871006e-8
1.5110646927884996e-6,-5.710359829436129e-8
1.4949019861949103e-5,1.1964447210743856e-9
5.063685293668369e-5,1.3071847817514026e-6
6.447193028030762e-6,-3.3004083022092345e-8
1.7309389413883158e-6,3.30422409433595e-8
2.45314657000735e-6,8.619682745347745e-11
8.16472327646589e-5,3.2629740118750306e-6
1.8197527397845192e-5,3.968018802424922e-9
2.98219182044146e-5,-4.5748885213470203e-7
9.706330904310848e-7,1.503863700236252e-11
9.4528290482997e-6,1.8913390462671487e-6
2.621630844636992e-5,-1.593370058117216e-8
1.3698070237960769e-6,1.9673939632980364e-7
3.1164534190289417e-6,1.6301715533018069e-10
1.743978042360872e-6,-2.711297533153356e-7
1.7976859832263825e-6,-2.6480214110335965e-7
4.546815375539026e-6,3.941470296808802e-7
8.069411773226065e-7,2.07073469482566e-10
4.0845745308555614e-5,1.327544204343667e-6
8.463645524897645e-6,1.1435824731620414e-8
2.8434676229094347e-5,3.022192345270014e-7
3.371907501702534e-6,1.0418353113550438e-7
4.77682599415441e-5,-1.6085497236417723e-6
4.704360440276056e-6,-1.6374396416551917e-7
1.2593067013649817e-5,-8.18359779941602e-9
2.7201451123781695e-6,8.703082698957587e-11
7.194333205826076e-5,-4.99490669625402e-6
1.3631387785553728e-6,-1.3885305349958799e-8
1.6445878255610946e-6,8.377696758543607e-8
6.595753287222395e-7,3.4994229736184934e-12
1.0040411008049865e-5,-2.7797459054568208e-6
1.683915060182728e-6,-3.7084184612012905e-9
1.9397565145906626e-5,-1.7979267852297198e-8
2.987662291523141e-6,5.276490355754504e-11
2.9983080283502855e-5,8.417998245136005e-7
6.477690800118889e-6,3.110329647171284e-7
4.6887234608494754e-6,-1.4519203261897928e-7
2.0223561099375065e-6,6.660005880121389e-11
1.4880487649027163e-5,2.3128547610440364e-7
4.46643339564734e-6,5.142489705178832e-7
2.9924678526249693e-6,-5.531392517355016e-7
1.3633669168372498e-5,8.86579698544665e-10
4.268290057247992e-5,5.718443318869504e-7
4.076495930721048e-5,1.1981864389554175e-8
9.394503981102753e-6,1.1426806167946779e-8
1.2890160991166355e-6,2.3133495119509462e-11
1.1603991895620114e-5,5.106402234389407e-6
