eta.ETA_Cl,eta.ETA_Vc,eta.ETA_Ka,eta.ETA_Vmax,ofv
0.0070666656047531145,-0.008208466327893273,9.828889908665177e-6,0.006066006382305289,5.753394436441592
-0.3275495355440245,-0.13437253930112025,3.1131455160583015e-5,-0.25974602170646494,45.44636230825192
-0.2275781337330736,0.11584049234352471,-1.454960894446971e-6,-0.18215257357220466,9.327379193721969
0.5627451227618283,-0.3297750549386654,1.0787260219794961e-5,0.32684304572709044,36.12521329696884
0.1486635992186849,-0.19626352400765731,8.83955461664648e-6,0.12144367394050813,4.204667220759758
0.11454528328915442,-0.03473397475715789,5.73707920481365e-6,0.10988126344328833,18.31266288645394
0.008523879429208825,-0.010528776449589862,3.2330526337231383e-6,0.008374954248280579,1.5952198851394586
-0.21925728555264745,0.39924868849326894,2.4179304103377503e-7,-0.21536334570180668,23.771385935597532
0.010680981792527956,-0.01543941878214186,-1.4758368146021899e-6,0.010504230757878597,-0.08174990732143934
-0.076107621727279,0.24069619081945814,-9.867426218723532e-6,-0.07624231656224675,30.02367628545672
0.09121147318849557,-0.10635671545129674,4.1420594091697854e-7,0.08510960400108224,4.1899984892278574
0.2936064319064049,0.245504955218595,3.779839353027248e-7,0.2640578391400337,26.862658593798926
-0.19868831632364437,0.2168181602109909,-2.662938387498835e-8,-0.18739651515947384,5.796244037721729
0.2173826323930487,0.32333997292697525,-6.511862672359706e-6,0.17458325039327288,34.88914146184156
-0.030730898875987747,0.022531613878895806,-3.972104176948145e-6,-0.026721798670433013,7.030419304012484
0.394492727629221,-0.16038143726606124,-4.723115231097332e-6,0.346302598669344,31.456761223026202
-0.40793149587412075,0.3403766599675678,-5.601666763796838e-6,-0.3599103879481696,10.116957428368519
0.15199595008668257,0.13179788548380336,-6.803571166673225e-6,0.1157138792945112,36.93319175788918
0.21376760334788944,-0.3244563011208674,5.714081899143955e-6,0.18975205069582618,0.6113939087424141
-0.06182530594625086,0.2994552331175332,5.19176249023508e-6,-0.05804635479122133,39.23911769060627
0.17352298388520063,-0.25037873668508276,3.792142568455467e-6,0.15219982833861237,2.301714038886156
-0.08395719356956217,-0.13907636616513466,-2.862122957195637e-6,-0.030549582094282948,40.87015793124166
0.07375130108166854,-0.05722579408586438,-8.358445865386248e-6,0.05555605216584195,8.086698656751313
0.13619604697770224,-0.19467106270552037,9.90245884386935e-7,0.12520765632042644,38.10458024864477
0.3133648462332067,-0.44004968620912316,-1.709238334857164e-5,0.2501303802335659,3.286461965487358
0.042040270652696526,0.37295230002054625,-1.8303863795446186e-6,0.04038960152322095,18.391681589059914
-0.09514839343069392,0.10502785480945401,2.2943982291279543e-7,-0.09345446494642405,2.369484610190541
0.2871603410311321,0.06362184406216698,-5.282376349850027e-6,0.2847137998014214,20.744902859818534
0.02940785212130007,-0.043858665308992045,1.096632148859483e-7,0.02894588593868905,-0.7462249114172469
-0.34614678194468035,0.29040897031825774,-1.172012119778942e-6,-0.32700842547045483,31.65324289281083
-0.0831836034559715,0.0928574292841252,-9.277804888200892e-6,-0.07897440026998943,4.248629043049222
-0.02979520848836996,-0.6734444930362192,2.532450994292359e-5,0.02554799560719433,29.022156241940618
-0.1603067248217843,0.1595662878619628,1.9761661358353068e-5,-0.15024528553611172,5.994090453136894
-0.18054610877693392,-0.28655983375688404,-4.867623986220043e-6,-0.1779618212242417,35.81680748720898
0.37637678342559716,-0.6291202509500055,-6.942050322450792e-6,0.3426188764665199,-4.368560865523244
0.6794304630632878,-0.4002182594577412,-1.0392998467973807e-6,0.4812042517249287,28.473833138417227
-0.17302752618359574,0.12724151811462084,-1.0504393670568472e-6,-0.15000407334350183,8.24294167997752
-0.017771980136947224,0.32485512065325256,3.1941436559984326e-6,-0.0231514826572902,38.18592252243802
-0.21705564623340987,0.19129097854747987,4.95444419765011e-6,-0.19201939004931295,7.412496258509505
1.0067229515935658,-0.725016693675156,-1.897770887042429e-4,0.2272496648065428,31.712106790297813
-0.6829756327329345,0.4466821286571584,-3.0811759013095736e-7,-0.5717202992444032,14.926525447030395
0.052533237017922126,0.40996753053697077,6.998722599089044e-6,0.040162216569686715,39.03341545921851
-0.10969581926092681,0.07174095919310482,1.2869275955627108e-6,-0.08662485784145674,8.509129306133064
-0.34171772590577254,0.35006323659106803,3.1037346696450257e-7,-0.26630854071664484,46.170337024462754
0.17417950940790386,-0.1644199950240721,-1.6519617098802247e-6,0.12775483053745415,7.908076223213052
-0.3715601804485379,-0.08785532585684346,3.7638416867136093e-6,-0.36341096545325113,22.90803295611499
0.249763273000049,-0.41070671829061756,7.183314804471577e-5,0.24521008057184715,-2.9207752028437244
-0.020879303289805078,-0.6905491721034256,-8.870515069906304e-6,-0.006086462346849563,20.284369852804584
0.09571023617121377,-0.148380887973169,-7.708479324740111e-6,0.09419380155829357,-1.656989795093212
-0.02342665734362261,0.42459340231492293,1.7878224835780013e-7,-0.024090380266467523,29.062803361854847
0.02182992259877048,-0.028789471350879694,1.0975074886996776e-5,0.02075046327266772,2.711402994070747
0.21188256262368757,-0.6635121423493985,-7.462602818278892e-6,0.21035634695395908,24.949484302523036
-0.0212761692824751,0.025206051701898942,5.16308842754864e-7,-0.019984587239010233,4.346827896746641
-0.2502755065802849,-1.2455109395742443,-2.9485686231896712e-9,-0.04486033513014362,38.64976555368702
-0.13247440139887887,0.13599216281448329,3.946670332901431e-6,-0.12033281907996783,5.954115737421417
-0.09548719677083108,-0.3359612541002963,-2.4821904107862747e-6,-0.08018553041708652,36.93161338574929
0.18658509468919687,-0.2638212556746967,6.752594585512103e-6,0.16644279818454102,2.9502142237376905
0.27270883980616584,-0.2721052501644603,-1.5708801933684425e-6,0.18839367462086926,35.935416373947064
0.19719227405069983,-0.2892376398327284,7.279364332396271e-7,0.17361607538696672,1.7939287288698602
-0.15916413692558654,0.16300514152279733,-1.021795301465923e-5,-0.13053049269179082,38.9212815144079
0.10678852545499214,-0.15244628037270344,-2.884607632929717e-5,0.09451912721313603,2.442724380502657
0.6313430601412303,-0.040743049310285745,1.7185621156577694e-5,0.37343325818051903,39.11108694339946
-0.005905157606041838,0.0026083909401790574,-2.2332965800949153e-5,-0.004386119238004397,9.014601193191194
-0.0015339101463082067,-0.1991370829348833,1.3419045335147774e-5,0.03072375638195823,41.158747095754734
