max_dif,OFV
3.4211184134186334e-5,1.6535287699070977e-6
3.923048718551536e-5,-6.545532192703263e-6
6.537720321150853e-6,5.627879360758925e-6
8.295622772880318e-6,-1.014862748505152e-6
1.764545791651065e-5,-7.328179236765209e-7
2.8216033271360204e-5,4.33139638644775e-6
1.4812673970954898e-5,7.1034006197123745e-6
6.110581173040044e-5,-1.6602051715608468e-6
4.5473435627037335e-5,4.965333680218009e-6
3.835319849134067e-6,3.604130860423993e-7
4.763592226500468e-5,-3.959236536843491e-6
2.497560325585759e-5,-9.18511521064147e-7
1.007263589530849e-5,2.0713865467314463e-6
8.17911208345068e-6,2.7565595850376212e-6
3.7150936148672153e-5,9.279344780566134e-6
4.279309151068722e-6,-3.3606111564665753e-6
9.848272634100137e-5,2.083701090782597e-6
1.8265351217072734e-6,-1.473003898411207e-6
2.353319222919703e-5,1.7974493289329985e-5
1.119624953362236e-4,-3.326427176375546e-6
1.4550378716046697e-5,-5.465492662892757e-7
3.861861722298521e-6,-1.1018767409609609e-6
1.6172858675493736e-5,3.399666587000638e-5
2.735711013940323e-5,-9.302251216425361e-6
1.6380152039988105e-5,1.2216501019679527e-6
1.9991820166862104e-5,5.213339093756986e-8
9.546085261759665e-5,9.531480174018725e-6
1.7188917641439497e-4,-3.363223736840837e-6
4.463874357096401e-5,5.833992126724752e-6
1.1372222380845454e-5,-5.945977612498154e-7
3.147233462503131e-5,1.1454728920057278e-5
3.412481181915006e-6,-3.8995376883121935e-7
6.527845676115502e-6,7.410807398855468e-7
5.755740136524412e-6,4.342178137051178e-7
2.5767617756775746e-5,2.09513639930492e-5
2.7935499891954636e-5,-9.245794590384548e-6
1.555170114891924e-5,-3.624224717668767e-6
4.922423220853067e-5,-1.6064369674495538e-6
2.8992118664750155e-5,2.2994926638375546e-6
5.539542479368609e-5,2.8857765670409208e-6
1.3574724109288727e-5,2.0547550505511936e-7
2.913003802292783e-5,-6.446981224428328e-7
3.326001179115162e-5,1.360599711119903e-6
2.8415415496099716e-5,1.7367979445737092e-6
4.1145138816866015e-6,3.735320724729263e-6
1.2633459062827423e-5,2.059856250014036e-7
2.0724828854001842e-4,-9.621564714734632e-6
5.476707313010164e-6,-3.9667298281642616e-6
1.2480600968327332e-4,3.0216318549491916e-6
7.607715815510785e-6,8.137315212763951e-6
8.606453758791544e-5,4.627249680311252e-6
1.7441667839540598e-5,2.240268941022805e-6
1.0002069542602854e-5,7.515647610034648e-6
2.9203345385824553e-5,3.4153526922153787e-6
2.1010732727935744e-5,8.595465573080219e-6
3.976188577124022e-5,-2.2336474984285815e-5
8.90598644650399e-6,-8.302905030177499e-8
2.179155837328528e-5,-7.097308305503702e-7
1.9214017316149436e-5,1.6882644047200301e-6
3.2730430113148135e-5,-2.501577313296366e-6
2.6956193872273992e-5,-1.981754088831167e-6
1.4362234852312608e-5,-1.5598421541085372e-6
4.606191550030059e-6,9.803434529942479e-6
6.14344010954962e-5,3.6970750976195177e-6
2.2038466913485815e-5,8.848888697343682e-7
1.1445728103270936e-5,-7.311971295109743e-8
4.585762123476833e-6,1.1471175000110634e-5
1.3612340279599289e-5,-2.0620092122669575e-7
4.785604538553911e-5,-5.450079356705828e-7
5.476622137678966e-6,3.3880490715176848e-6
2.7471436190894234e-5,2.951144850271703e-6
7.258297918663195e-6,-2.49161533290021e-5
5.418300563497791e-6,1.986215636406996e-9
4.031319182004812e-5,-9.720320619521772e-7
2.805364097743805e-5,8.317056042983495e-6
4.506933703532501e-5,-1.694294383014494e-6
1.596780197782779e-4,-6.835357893919536e-6
2.6199958852862748e-5,-1.832577254390344e-7
8.638938261147644e-5,8.80758322807651e-6
3.60777319793823e-5,-2.338841646576384e-6
1.9551491238556373e-5,8.36834696826827e-6
4.486571439318854e-5,-1.8154946888060408e-6
2.564690098588729e-5,-3.3815244009360867e-6
1.2355966037150192e-4,-2.4432528178408575e-6
1.0119181518125227e-5,-2.2958406731277137e-6
3.0506607313627704e-5,1.4578242470975056e-6
1.3903741220080978e-5,9.350567609089921e-7
3.940317624337442e-6,-1.3254828452602396e-6
2.753736002187493e-5,-3.873953261290808e-6
2.607049833364128e-5,1.078976566759593e-6
1.889791066332191e-4,-4.1546395408431636e-6
9.462539754950816e-6,1.763777000007849e-7
2.5306567025706883e-5,-5.579365307539774e-7
3.113681948771485e-5,-5.427132876434371e-8
1.6506223025748376e-5,1.270655099006035e-5
1.9983507571809556e-5,1.0399712330411148e-5
2.2307711560837218e-5,2.3693007875635885e-6
3.3937500269545784e-6,4.6702780664986676e-7
1.1846809254704993e-4,6.461816710157109e-6
6.529183533718341e-5,-1.326480667529495e-6
2.2818071366411425e-5,1.760463490541042e-7
5.570534752696865e-6,-9.816636961090808e-7
5.2135452690796336e-5,1.3038992953795514e-5
7.94326771853346e-6,6.208877376678856e-7
2.0400021846417316e-5,5.8377176301860345e-6
7.61818256283936e-5,4.935406749950744e-8
1.67767413302544e-5,4.554855493665855e-6
4.5474419435143076e-5,2.1317415566102227e-7
1.0748047197889354e-5,-2.6476624981341956e-6
5.665457593107428e-6,5.965219862957838e-6
8.642503764552296e-5,-1.4956722509396059e-6
2.605348002758835e-5,5.442757728957304e-6
4.6183075819163686e-5,-1.1900931866648534e-6
7.209107787120583e-5,-4.6793728749605634e-06
9.691324296124415e-6,-7.171630244329208e-6
2.0777472046682028e-5,-2.5724569852059176e-7
1.1210144312737392e-4,-1.7450131934992896e-6
1.1248546635755918e-5,-7.847455307796736e-7
6.994504279110365e-5,9.598305581448585e-7
2.1328951386427554e-4,-6.186026507037923e-6
1.657260412346595e-6,-4.800359008072519e-7
2.9761625694596505e-6,-8.70993448032209e-7
3.4787447628775725e-6,-3.7185027537134374e-6
2.7288124700750038e-5,-2.679390210147403e-6
2.2196317429612478e-5,2.21045500907735e-5
2.432187058795128e-5,-3.7091391611454583e-6
1.8064784151137227e-5,-2.0727194112168945e-6
1.276263889288565e-4,-2.437752456785347e-6
1.837811397065181e-6,2.3340512456115903e-6
1.814591917972952e-5,7.975314986197191e-7
2.5795740878009048e-5,-7.23024086823898e-6
6.807837716666168e-5,2.1499223201715267e-6
1.1161911991186546e-5,4.900209660263499e-8
5.327108905883726e-6,5.470515560546119e-7
4.458522652980771e-5,5.977999208539586e-6
2.421467922681281e-5,-1.0903106936410722e-5
7.77154409258296e-5,-4.931983809797202e-6
9.866243072684244e-6,-1.202107686282261e-6
9.78179644005664e-6,2.2352972877115462e-6
8.044694874198566e-6,3.131683115498163e-6
2.6547421026090756e-5,-2.248937995830147e-7
7.0493087872686155e-6,3.699901363063418e-7
1.2326929680309823e-4,1.2570815286494508e-5
1.4090230019078026e-5,8.916453477780806e-7
2.1033308523538585e-6,-7.229699583888305e-6
3.874694773114973e-6,2.3580614403329037e-6
3.440502998031114e-5,4.834818412291497e-8
2.549782637364939e-5,2.097117073773802e-6
6.3356380044510274e-6,6.07217032211338e-8
7.496607341100914e-5,-1.2333655732277293e-6
6.210808389001121e-5,1.1639814516684055e-6
3.5321182112676985e-5,7.398431826288743e-6
1.0414698692110327e-4,-4.817965759684739e-8
3.3921305409911895e-5,2.1729948898041584e-6
7.202646836346194e-6,1.6610554354201668e-6
5.226465049073571e-6,-1.1444302572272136e-6
5.861086213193589e-5,4.789140746197518e-7
7.890601204740832e-5,-4.299868827217779e-6
8.899150514246612e-5,-6.954013173299245e-6
5.803255425751441e-5,1.4886852781614834e-6
1.3373722587241963e-5,-7.2208746431101645e-6
3.8872861869237996e-5,3.983822027819883e-6
2.4578712939593572e-5,5.992945197874633e-6
1.0347986985247038e-5,9.438520887528057e-6
4.340398728364808e-6,-1.8525594711604754e-6
1.4309475334906083e-5,-5.950254553965806e-6
1.0396533430712118e-5,1.920180511660874e-5
9.131992497711516e-5,7.471699561278911e-7
2.153563366262315e-5,1.4936349757022072e-6
4.1757218409751995e-5,-2.3873804266827392e-8
6.616838509797274e-6,1.1934737912611126e-5
4.537206038698893e-6,-1.9257367895875177e-6
2.8358271497441745e-6,1.184324446512619e-6
6.201686680654128e-7,-1.8682033022798805e-6
9.949767633665729e-5,3.32615678644288e-6
1.3579881584513398e-5,8.243576289146404e-6
7.421318466709535e-6,3.4474150254482083e-6
2.199031930423534e-5,1.202605709238469e-6
1.717810509183071e-5,6.006953483961297e-6
8.005227011547746e-6,-3.672951862654372e-7
5.970380881459292e-6,-5.413656268160594e-6
2.3623442111930792e-5,-3.322472430511425e-8
2.274292510862086e-5,-2.7453267748001053e-6
1.2839015444902901e-5,3.550852351708045e-6
1.5928194574771348e-5,9.072861573145019e-7
2.491688008332431e-5,-4.182234043526023e-7
4.0582689436574615e-5,5.619304332071806e-6
1.0006114957349967e-5,-6.161223168987817e-6
1.6134965670069894e-5,4.482515819859145e-6
6.18592762633654e-5,1.8935533105945979e-6
1.1371587766470515e-4,-8.193731488859157e-6
2.7351802708970585e-5,-8.684407646342152e-7
1.3756526674735259e-5,-9.52298179868194e-7
5.86783451123063e-6,-3.6294369216705036e-6
5.0696689498397746e-5,1.2600309986510183e-6
5.3785155573189735e-5,-4.36903473044481e-6
1.0124474680017759e-5,1.4981282419057607e-6
2.2343170909822074e-6,-5.190572593960496e-8
1.0666594274149015e-4,1.4324518531338981e-6
1.9680221948786825e-5,4.665066494879966e-6
1.3444927449713242e-5,1.2808612765979888e-6
5.45875094935541e-5,-1.5587100676839327e-7
6.508887996582724e-5,5.147192204901785e-6
2.3411393370486006e-5,4.403610661896096e-6
5.907600086746401e-5,3.129251879840922e-7
1.8967417281201905e-5,-2.7122746359964367e-7
1.106619597127656e-4,-3.270859352255684e-6
2.1695579538422854e-5,5.237360772625266e-6
4.290470080187125e-6,-8.94659635264361e-8
3.027086505194651e-6,1.7760237795982903e-6
3.1879672540737196e-5,3.5384361751766846e-7
8.978956230587431e-5,8.039766818512817e-6
9.114034135809801e-5,4.434445429524203e-6
1.0107835711416722e-5,-1.3846661417460382e-7
7.117735022245386e-6,2.370494982528726e-6
3.1497128487323334e-6,4.699620454573505e-6
1.280379034890311e-5,2.511542334104888e-7
3.1096537587136836e-5,-4.667798911839327e-7
9.343186104122329e-6,1.6513188683120461e-6
2.1406435530928018e-5,-2.8223149755035593e-6
5.946964920489073e-5,5.062682944867447e-6
7.5317290962328975e-6,-3.014670722834012e-6
1.8958344446207143e-5,2.4149701758346964e-6
1.0099911279226603e-4,5.696651257380836e-7
3.4797441635098553e-5,2.2155586307803787e-6
2.1838460897982692e-6,-1.4129974665877398e-6
1.0202570688506822e-5,9.004126354739128e-6
1.8742683289390757e-5,3.014598176420691e-6
3.271156074760361e-5,-2.948264892665975e-6
