run,index,mlx.time,mcmc.time,sir.time,mlx_sir,mlx_mcmc
207,13,12.600000000000001,12.700000000000001,12.600000000000001,0,0.007936507936507907
207,14,8.100000000000001,8.2,8.100000000000001,0,0.012345679012345413
207,15,10.7,10.8,10.7,0,0.009345794392523497
207,16,11,11,10.9,-0.00909090909090906,0
207,17,6.2,6.9,6.2,0,0.11290322580645164
207,18,16.200000000000003,16.5,16.1,-0.006172839506172926,0.01851851851851834
207,19,13.3,13.5,13.4,0.007518796992481176,0.015037593984962351
207,20,16.3,16.1,16.1,-0.012269938650306704,-0.012269938650306704
301,1,22.400000000000002,22.3,22.400000000000002,0,-0.004464285714285777
301,2,41.2,41.400000000000006,41.1,-0.002427184466019452,0.004854368932038904
301,3,16,15.9,16,0,-0.006249999999999978
301,4,42.800000000000004,42.900000000000006,43,0.004672897196261582,0.002336448598130874
301,5,48.400000000000006,48.5,48.5,0.002066115702479221,0.002066115702479221
301,6,24.700000000000003,24.6,24.6,-0.004048582995951474,-0.004048582995951474
301,7,19.2,19.2,19.2,0,0
301,8,41.5,41.6,41.400000000000006,-0.0024096385542167306,0.0024096385542169015
301,9,22.400000000000002,22.5,22.5,0.004464285714285619,0.004464285714285619
301,10,110.2,106.2,110.10000000000001,-9.074410163338867e-4,-0.036297640653357534
301,11,31.400000000000002,31.5,31.400000000000002,0,0.0031847133757961104
301,12,28.6,28.700000000000003,28.6,0,0.003496503496503546
301,13,16.9,16.9,16.9,0,0
301,14,10.100000000000001,10.3,10,-0.00990099009901004,0.01980198019801973
301,15,20.2,20.2,20.1,-0.004950495049504845,0
301,16,30.900000000000002,31.200000000000003,31,0.0032362459546924874,0.009708737864077692
301,17,28.8,29.3,28.8,0,0.017361111111111112
301,18,35.5,35,34.900000000000006,-0.016901408450704064,-0.014084507042253521
301,19,18.700000000000003,18.700000000000003,18.200000000000003,-0.0267379679144385,0
301,20,24.900000000000002,24.5,24.6,-0.012048192771084364,-0.016064257028112535
405,1,30.700000000000003,30.400000000000002,30.3,-0.01302931596091212,-0.00977198697068406
405,2,30.8,30.3,30.3,-0.016233766233766232,-0.016233766233766232
405,3,30.6,30.400000000000002,30.3,-0.009803921568627473,-0.0065359477124182774
405,4,30.6,30.200000000000003,30.3,-0.009803921568627473,-0.013071895424836555
405,5,30.8,30.700000000000003,30.3,-0.016233766233766232,-0.0032467532467531776
405,6,30,30.200000000000003,30.3,0.010000000000000024,0.006666666666666762
405,7,30.5,30.3,30.200000000000003,-0.009836065573770399,-0.0065573770491803044
405,8,30.700000000000003,30.200000000000003,30.3,-0.01302931596091212,-0.016286644951140062
405,9,30.3,30.6,30.200000000000003,-0.00330033003300323,0.009900990099009924
405,10,30.8,30.3,30.3,-0.016233766233766232,-0.016233766233766232
405,11,30.1,29.900000000000002,29.8,-0.009966777408637897,-0.006644518272425225
405,12,30.6,30.3,30.3,-0.009803921568627473,-0.009803921568627473
405,13,30.200000000000003,30.400000000000002,30.200000000000003,0,0.0066225165562913664
405,14,30.3,30.6,30.3,0,0.009900990099009924
405,15,29.6,29.700000000000003,29.5,-0.0033783783783784263,0.0033783783783784263
405,16,30.400000000000002,30.3,30.200000000000003,-0.006578947368421029,-0.003289473684210573
405,17,30,30.5,30.1,0.003333333333333381,0.016666666666666666
405,18,30.700000000000003,30.5,30.3,-0.01302931596091212,-0.006514657980456118
405,19,29.5,29.1,29.3,-0.006779661016949128,-0.013559322033898256
405,20,30.200000000000003,30.5,30,-0.006622516556291484,0.009933774834436991
504,1,9,9,9,0,0
504,2,22.400000000000002,22.700000000000003,22.5,0.004464285714285619,0.013392857142857173
504,3,4,4.2,4,0,0.050000000000000044
504,4,15.100000000000001,15.3,15.100000000000001,0,0.013245033112582733
504,5,61.5,61.6,61.7,0.0032520325203252497,0.0016260162601626248
504,6,16.200000000000003,15.9,15.4,-0.04938271604938286,-0.01851851851851867
504,7,11.9,11.9,11.9,0,0
504,8,19,19.1,18.9,-0.005263157894736917,0.005263157894736917
504,9,11.700000000000001,11.8,11.8,0.008547008547008517,0.008547008547008517
504,10,79.10000000000001,74.10000000000001,78,-0.013906447534766225,-0.0632111251580278
504,11,4.5,4.5,4.5,0,0
504,12,40.2,40.4,40.2,0,0.004975124378109346
504,13,4.3,4.3,4.4,0.023255813953488497,0
504,14,6.9,7,6.9,0,0.014492753623188354
504,15,9.7,9.600000000000001,9.600000000000001,-0.010309278350515245,-0.010309278350515245
504,16,25.8,26,25.8,0,0.007751937984496096
504,17,3,3,3,0,0
504,18,164.70000000000002,167.60000000000002,178.4,0.08318154219793557,0.017607771706132393
504,19,23.900000000000002,23.5,23.700000000000003,-0.008368200836820053,-0.016736401673640256
504,20,21.1,21.8,21.400000000000002,0.014218009478673018,0.03317535545023693
513,1,6.300000000000001,6.300000000000001,6.300000000000001,0,0
513,2,19.8,19.400000000000002,19.7,-0.005050505050505122,-0.02020202020202013
513,3,3,3,3,0,0
513,4,13.9,13.9,13.600000000000001,-0.02158273381294956,0
513,5,96.4,97.80000000000001,97.10000000000001,0.007261410788381772,0.014522821576763543
513,6,15.4,14,14.4,-0.06493506493506493,-0.09090909090909093
513,7,9.3,9.3,9.3,0,0
513,8,17.4,17.4,17.3,-0.005747126436781487,0
513,9,9.5,9.5,9.5,0,0
513,10,166.10000000000002,142.5,160.10000000000002,-0.03612281757977122,-0.14208308248043358
513,11,3.9,3.8,3.9,0,-0.025641025641025664
513,12,54.400000000000006,54.6,54.5,0.0018382352941175423,0.0036764705882352156
513,13,3,3,3,0,0
513,14,6.4,6.5,6.300000000000001,-0.015624999999999944,0.015624999999999944
513,15,3,3,3,0,0
513,16,28.900000000000002,29.200000000000003,29,0.0034602076124566734,0.010380622837370266
513,17,3,3,3,0,0
513,18,332.5,281.2,354.90000000000003,0.06736842105263169,-0.15428571428571433
513,19,27.200000000000003,26.900000000000002,27.1,-0.003676470588235346,-0.011029411764705907
513,20,21.6,21.400000000000002,21,-0.027777777777777842,-0.009259259259259226
