run,index,mlx.dose,mcmc.dose,sir.dose,sir_1e5.dose,mlx_sir,mlx_sir_1e5,mlx_mcmc
1,1,5212.136406053727,5211.309279506688,5203.906827212617,5197.853846129405,-0.0015789262214150437,-0.002740250601986104,-1.5869242141834382e-4
1,2,6644.774829585993,6722.744152940214,6720.561422027716,6726.609476923888,0.011405441777241501,0.01231563889471841,0.01173393009602992
1,3,6000.985236805956,5970.286028082206,5961.892872118551,5899.945646188011,-0.006514324422536376,-0.01683716700355094,-0.005115694758830996
1,4,6702.094766883911,6848.60781142284,6910.811018889765,6894.1951499149,0.031141942820199133,0.02866273750412885,0.021860783775077785
1,5,3211.042737001384,3215.1420284986575,3212.7059781975404,3208.99409763979,5.179754155840314e-4,-6.379981611540074e-4,0.0012766231511143326
1,6,6718.875417924148,6929.578259576796,6964.626135063667,6821.154144526867,0.03657616816110661,0.015222596080568319,0.031359837554146314
1,7,4789.246566126647,4790.11310876131,4783.028559033253,4776.146702164046,-0.0012983267842947076,-0.002735266138781413,1.809350641481322e-4
1,8,7002.299533614025,7142.98857862685,7129.160557374427,7099.1613186884715,0.01811705185581044,0.013832853708909318,0.020091834737639747
1,9,4304.881640922098,4306.320490668222,4310.076328123829,4311.048951536906,0.0012066968699789705,0.0014326318652252662,3.342367726086673e-4
1,10,5557.38924611833,5593.171228428502,5573.879156635994,5570.140047120927,0.0029672045248911455,0.002294386885263219,0.006438631653372924
1,11,4557.12595396908,4567.55679326646,4567.289091766714,4585.192407467916,0.002230163901610396,0.006158805743429494,0.002288907395305808
1,12,7150.543417344365,7162.567925855394,7369.033721393842,7361.035796818795,0.030555762170397717,0.029437256329897875,0.0016816216347784795
1,13,6369.019836631316,6373.05580417579,6368.197915725919,6376.607942651306,-1.290498265792127e-4,0.001191408759060078,6.336873880124313e-4
1,14,8487.671321581094,8146.127719637891,8339.650524628927,8341.133750830815,-0.017439506237217673,-0.017264755572908044,-0.04023996559277468
1,15,5682.608789837813,5681.563094774845,5661.523897248066,5629.47329364387,-0.003710424801273171,-0.009350546229570536,-1.840167257048848e-4
1,16,6994.5696900766925,7118.833882098592,7002.909826343246,7111.183501293122,0.0011923730316656769,0.016672049373083205,0.017765809410433774
1,17,6378.629307833023,6389.228006197131,6368.5055448596,6377.34620124735,-0.0015871376881848673,-2.0115710190227618e-4,0.001661594968544951
1,18,4821.199082858117,4833.892739262432,4826.896850604091,4894.027447941132,0.0011818154878175681,0.01510586139078084,0.002632883684361222
1,19,5373.198309969008,5401.342340416577,5388.796448682516,5365.9624748561655,0.0029029523597832643,-0.0013466532771398976,0.0052378544070024145
1,20,7245.782059545649,7050.361941020903,6912.553120195378,7015.176560217988,-0.04598936824373185,-0.03182617106511777,-0.026970189955865115
3,1,5387.107918686288,5390.127484536413,5393.241759142678,5392.2012298951995,0.0011386147352114172,9.454629990322413e-4,0.00056051705213686835
3,2,7361.873458807946,7256.44048061367,7310.519031619473,7279.712195817196,-0.006975728050178742,-0.011160374251264864,-0.014321487429009417
3,3,6359.836011482006,6216.710534652597,6211.9026503940595,6246.927964463271,-0.0232605621938787,-0.01775329533888799,-0.022504586057095106
3,4,7652.183271733069,7402.547170840167,7654.949563769591,7492.213308371567,3.6150363083180666e-4,-0.020905140099352564,-0.03262285965040196
3,5,3441.808534475922,3453.9034847025105,3442.6685061901444,3441.3747125126865,2.49860416582806e-4,-1.2604476945476478e-4,0.0035141263976295406
3,6,7157.277647596729,7356.124727027378,7553.551481086784,7676.799736896908,0.05536655876737098,0.07258654964637622,0.027782501842361456
3,7,5055.822498146717,5039.836234236849,5048.701061705986,5092.3166393108295,-0.001408561404863788,0.007218240192864666,-0.0031619511792054158
3,8,7692.283651247959,7652.278865327045,7760.987567300984,7773.479593334063,0.008931537000963122,0.010555505460713365,-0.005200638423470422
3,9,4437.881004490653,4434.450373232969,4434.49777723077,4336.137317245111,-7.623519550117402e-4,-0.022926186426041693,-7.730336289353309e-4
3,10,5745.960154588993,5862.89104475284,5803.480435124715,5822.740936755661,0.01001056028726265,0.013362567804329034,0.020350104598351668
3,11,5371.8509277864105,5244.297464978634,5433.870510467783,5628.623401638608,0.011545291095210818,0.0477996275965175,-0.023744788253150184
3,12,7951.784478830217,7806.88886738049,7993.614894403519,7919.829562895127,0.00526050670571693,-0.004018584258685898,-0.018221772966241456
3,13,7660.680936253315,7719.3579733055485,7752.5741862458135,7638.4765559828375,0.011995441496280578,-0.002898486499470007,0.00765950671232776
3,14,11518.622566768616,10011.636106689233,11447.194368684943,11466.589564007245,-0.006201105876126583,-0.004517293839585195,-0.1308304401280635
3,15,6369.609012679357,6219.400441886963,6354.397283966176,6308.506864468997,-0.0023881730704193777,-0.009592762772209351,-0.023582070813669854
3,16,7770.905669408132,7480.043650767011,7639.897292075502,7807.325228908776,-0.016858829962171938,0.004686655719425032,-0.03742961644563036
