run,index,mlx.dose,mcmc.dose,sir.dose,sir_1e5.dose,mlx_sir,mlx_sir_1e5,mlx_mcmc
1,1,2884.6239159332,2885.861817410413,2883.4808852750284,2888.3555467925166,-3.962494562490317e-4,0.001293628205293973,4.291379095817862e-4
1,2,4429.955846234982,4493.013848543003,4489.689579270626,4462.727837338239,0.013484047044489555,0.007397814389303512,0.014234453908070896
1,3,2935.8596247547566,2909.6384763479587,2906.5979413193495,2848.0801420598154,-0.009966989970731812,-0.029899073496156593,-0.008931335880539015
1,4,3952.189429616767,4048.469154771321,4075.075867802859,4084.8732724216916,0.031093256124114507,0.03357223765911204,0.024361110940952526
1,5,1949.699970663747,1952.061407326124,1947.9744210181536,1946.5148525020638,-8.850334264538189e-4,-0.0016336452836889165,0.001211179513724375
1,6,3864.257931506402,3999.1148835238796,4016.3482210180146,3928.1837425613667,0.0393582137133178,0.0165428426849458,0.034898537936080824
1,7,2718.8871289180383,2718.8713699371106,2715.3766509297893,2708.980672600422,-0.0012911451714606452,-0.0036435702726498906,-5.796114432325234e-6
1,8,4489.219823590765,4559.295583397539,4539.758284617718,4512.35423765537,0.011257738095464676,0.005153326184437067,0.015609785789175913
1,9,2312.693668355802,2317.1126142936573,2316.4087433642567,2314.621736379348,0.00160638439032695,8.336893251049653e-4,0.0019107355195022422
1,10,3730.978801720446,3748.142918840651,3742.3421488947874,3733.997311599834,0.0030456745476821127,8.090396755929674e-4,0.0046004327637268255
1,11,2186.1967933867527,2191.3693650702594,2191.991026186709,2207.2562551599804,0.0026503710999320014,0.009632921353161142,0.0023660137546417308
1,12,4717.324561000791,4725.186952450603,4860.91161071499,4871.7577486542805,0.030438238424650023,0.03273745226907313,0.0016667056396357156
1,13,3880.2399496556527,3878.491166706855,3872.8572346804117,3875.5129879203405,-0.0019026439269293604,-0.0012182137694169415,-4.50689382998832e-4
1,14,4497.6870672055775,4244.143778669431,4404.782241090881,4366.201558091871,-0.020656133858689796,-0.029234027879000094,-0.05637192733679292
1,15,3255.867632285643,3253.299440913017,3238.159771064684,3231.410102949131,-0.005438753420245245,-0.007511831591059665,-7.887886310732168e-4
1,16,4504.909457854811,4564.731746569477,4494.524356212426,4545.951331070931,-0.002305285320280405,0.009110476825357419,0.01327935428543607
1,17,4318.20284539543,4325.291910946649,4311.9961436216245,4322.799635805622,-0.0014373344643649017,0.0010645147008537007,0.0016416703441290577
1,18,3283.7530739250897,3297.115704046911,3274.468924637492,3340.9059942659865,-0.002827298240333387,0.01740475579443663,0.004069316364841345
1,19,3410.6320230893893,3428.884617536556,3414.6914494069792,3407.1620802906905,0.0011902269990161007,-0.0010173899662021448,0.005351675092358205
1,20,4516.9798579655335,4375.8819063603405,4267.39490550166,4345.0329148825085,-0.05525482962332435,-0.038066794293935724,-0.031237232850700396
3,1,2848.813308151301,2832.4307225255557,2848.2331373947695,2860.285745220443,-2.0365348437241382e-4,0.004027093329112129,-0.005750670140043903
3,2,5402.1769845178105,5289.482455972325,5335.238729065262,5349.323678226738,-0.012390977867698093,-0.009783705058635808,-0.02086094714565238
3,3,2993.341928798575,2883.656564490608,2900.5889922862325,2937.3658277377626,-0.030986415424171132,-0.018700202780802623,-0.036643112252795866
3,4,4965.793479570253,4703.805424649052,4834.669651762219,4723.390314928694,-0.02640541302160278,-0.04881458837118951,-0.052758548255992715
3,5,2065.42477668162,2061.7086821866733,2072.2131453646716,2049.963150766969,0.003286669531464539,-0.007485930298314788,-0.0017991913997067962
3,6,4453.420439937813,4540.74829112271,4704.709110432983,4768.039124404162,0.05642599298319983,0.07064652635194313,0.019609163869135176
3,7,2912.556512973243,2896.758424249693,2926.809035001346,2954.372678262099,0.004893474844047991,0.014357203062874906,-0.005424131223954544
3,8,5421.3552372684835,5375.981450078759,5489.991784680233,5408.242692488665,0.012660403977941747,-0.002418683927900146,-0.008369454721913036
3,9,2381.073565816599,2375.2795019117243,2379.0219324488157,2379.0219324488157,-8.616421589140226e-4,-8.616421589140226e-4,-0.002433382986588929
3,10,4382.275908037105,4444.9627481952375,4416.218837026619,4449.847575366033,0.0077455024972897845,0.015419309223547839,0.014304631080659368
3,11,2604.896528089841,2526.655616624238,2717.7017911852554,2821.9637575363286,0.04330508405189283,0.08333046134683207,-0.030036091883840262
3,12,5984.301625170693,5818.0795518985915,5890.955592700698,5899.563990422379,-0.01559848388613481,-0.014159987255972764,-0.02777635281165501
3,13,10049.033964094344,11527.82038246593,12268.256541336996,9013.0194188229,0.22083939462957686,-0.10309593429310432,0.14715707237684317
3,14,7029.852247671953,5868.090096577706,7036.372255653553,7148.5305900237645,9.274743980230357e-4,0.016882053586704332,-0.16526124734399394
3,15,5586.670691411726,4602.438453897506,5444.9859039738885,5428.08308860581,-0.025361220530797774,-0.028386781961161425,-0.17617509459207242
3,16,5455.361981974377,5262.080105814558,5411.709211984581,5485.836619836691,-0.008001809986951127,0.005586180708632791,-0.03542970691925883
3,17,5729.828944799111,5686.192215671516,5679.294893467397,5450.9389668494,-0.008819469449883537,-0.04867335144496,-0.007615712362094708
3,18,4014.7844493246916,4144.513086578121,4093.4352356405316,4024.8930979047736,0.01959028867143027,0.002517855866902722,0.032312727841528464
3,19,4637.866356987186,4583.1731398906195,4664.284559760659,4550.475468394719,0.005696197505491474,-0.018842907894663172,-0.011792754013743485
3,20,5257.445703479245,5170.506162780105,5251.042316296412,5360.46797674017,-0.0012179654425333742,0.019595499235065404,-0.016536460023087906
6,1,16068.187852159044,16012.930776922223,16180.86522395518,16067.756573584616,0.007012450491173145,-2.6840523548511358e-5,-0.0034389114531914234
6,2,17686.40071215607,17748.86799590933,17673.66981708879,17498.44834386418,-7.198126557503182e-4,-0.010626942776588214,0.003531938734732236
6,3,15480.349338180273,15215.991699776725,15480.087072753753,15578.876360333828,-1.6941828688117387e-5,0.006364651081261555,-0.01707698144456882
6,4,20519.253857373427,21037.200936278656,20996.621701928227,21090.859915292513,0.023264386116226207,0.027857058638303425,0.02524200355945732
6,5,11882.774751514748,11917.837559081085,11869.784101614836,11869.784101614836,-0.001093233707746222,-0.001093233707746222,0.0029507255922584527
6,6,22081.939828368348,22364.92449964088,22795.79777651674,22861.029633247148,0.03232768288007519,0.03528176468798792,0.012815208875308482
6,7,17213.244411164582,17298.72897301157,17390.25752298095,16924.832306551827,0.010283541416605837,-0.01675524367885519,0.004966208566209774
6,8,22218.631386583165,22035.589305544378,22439.243444772637,22717.218678917736,0.009929147045604696,0.022440054189640367,-0.008238224841756844
6,9,10952.344757847663,11107.948238884448,10957.492043856593,10847.365618804484,4.6997114524198144e-4,-0.009585083501681938,0.014207321306726695
6,10,20315.281633659764,20368.289700684287,20436.888093395642,20589.166449958106,0.005985959827127976,0.01348171397459487,0.002609270596411276
6,11,11791.524023788777,11757.945477674693,11623.873020830062,11883.184668532294,-0.014217924894228108,0.0077734349316166814,-0.002847685002069374
6,12,22675.13902360498,23080.586821271303,23464.986982244962,23502.67260774623,0.034833213495085676,0.03649519340453792,0.01788071937482932
6,13,22077.47896557933,22043.122808471806,21987.226109757717,22007.378881897443,-0.004088005517401817,-0.003175185164537026,-0.0015561630547168282
6,14,35322.28924595692,26912.966870973516,32094.556043711273,31448.783647751574,-0.09137950204105476,-0.10966179375388918,-0.2380741043262352
